experiment_type,title,hypothesis_statement,hypothesis_null,budget_max_usd,bsl_level,privacy,notes
sanger,pUC19-GFP plasmid verification sequencing,The cloned GFP insert in pUC19 vector contains the correct 720bp sequence with no mutations at the BamHI/EcoRI cloning sites,The GFP insert sequence differs from the expected reference or contains mutations at the cloning junctions,150,BSL1,open,Forward and reverse sequencing primers targeting vector backbone. Need confirmation of insert orientation.
sanger,CRISPR guide RNA plasmid validation,The sgRNA targeting BRCA1 exon 10 has been correctly inserted into the pX459 backbone with the U6 promoter intact,The sgRNA sequence is incorrect or the U6 promoter region has been disrupted during cloning,200,BSL1,confidential,Critical for upcoming gene editing experiment. Please prioritize accuracy over turnaround time.
sanger,Gibson assembly verification of 3-fragment construct,All three DNA fragments (promoter + coding sequence + terminator) are correctly assembled in the expected order without frameshifts,One or more junctions contain errors or the fragments are assembled in incorrect order,175,BSL1,open,Gibson assembly of synthetic biology construct. Junctions at positions 450 and 1200 need verification.
qpcr,GAPDH knockdown efficiency measurement in HeLa cells,siRNA treatment reduces GAPDH mRNA expression by at least 70% compared to scrambled control at 48 hours post-transfection,siRNA treatment does not significantly reduce GAPDH mRNA levels compared to scrambled control,300,BSL2,open,Please include 18S rRNA as reference gene. Samples will be provided as cell pellets.
qpcr,IL-6 expression after LPS stimulation in THP-1 macrophages,LPS stimulation (100ng/mL) increases IL-6 mRNA expression by at least 10-fold compared to unstimulated controls at 4 hours,LPS stimulation does not significantly increase IL-6 mRNA expression compared to unstimulated controls,450,BSL2,confidential,Time course study - need measurements at 0 2 4 and 8 hours. Please use HPRT as housekeeping gene.
qpcr,Viral load quantification in patient serum samples,The qPCR assay can detect and quantify viral RNA copies with a lower limit of detection of 100 copies/mL,The qPCR assay fails to reliably detect viral RNA below 1000 copies/mL,500,BSL2,confidential,Standard curve required. Samples handled according to BSL-2 protocols. Triple technical replicates needed.
cell_viability,Doxorubicin IC50 determination in MCF-7 breast cancer cells,Doxorubicin exhibits cytotoxicity with an IC50 between 0.1-10 μM in MCF-7 cells after 72-hour exposure,Doxorubicin shows no dose-dependent cytotoxicity or IC50 falls outside the testable range,400,BSL2,open,8-point dose response curve from 0.01 to 100 μM. Include vehicle control and positive control (staurosporine).
cell_viability,Novel kinase inhibitor compound screening in A549 lung cancer cells,Compound LIT-2847 shows selective cytotoxicity with IC50 < 5 μM while sparing normal lung fibroblasts (IC50 > 50 μM),Compound LIT-2847 shows no selectivity between cancer and normal cells or lacks cytotoxic activity,600,BSL2,confidential,Test in parallel with normal MRC-5 fibroblasts. 48-hour exposure. MTT assay preferred.
cell_viability,Combination therapy synergy assessment - Cisplatin with PARP inhibitor,The combination of cisplatin and olaparib shows synergistic cytotoxicity (CI < 0.8) in BRCA1-mutant ovarian cancer cells,The combination shows additive or antagonistic effects (CI >= 0.8) in BRCA1-mutant cells,750,BSL2,confidential,Use Chou-Talalay method. Test 5 fixed-ratio combinations. 72-hour exposure in UWB1.289 cells.
enzyme_inhibition,Acetylcholinesterase inhibition by galantamine derivatives,Novel galantamine analog GAL-5 inhibits human AChE with IC50 < 1 μM comparable to or better than parent compound,GAL-5 shows significantly weaker AChE inhibition (IC50 > 10 μM) compared to galantamine,350,BSL1,open,Use recombinant human AChE. Ellman assay with DTNB. Include galantamine and donepezil as reference inhibitors.
enzyme_inhibition,HDAC6 selective inhibitor characterization,Compound HD-103 selectively inhibits HDAC6 (IC50 < 100 nM) with >50-fold selectivity over HDAC1 and HDAC3,HD-103 lacks selectivity for HDAC6 or shows weak inhibition (IC50 > 1 μM),500,BSL1,confidential,Test against panel: HDAC1 HDAC3 HDAC6 HDAC8. Fluorogenic substrate assay. Include ACY-1215 as reference.
enzyme_inhibition,Beta-secretase (BACE1) inhibition kinetics study,Peptide inhibitor BACE-P7 inhibits BACE1 with Ki < 50 nM through competitive inhibition mechanism,BACE-P7 shows weak binding (Ki > 500 nM) or non-competitive inhibition mechanism,450,BSL1,confidential,Determine Ki and mechanism using Lineweaver-Burk analysis. FRET-based substrate. Multiple substrate concentrations needed.
microbial_growth,E. coli growth optimization in minimal media with glycerol,E. coli K-12 achieves maximum growth rate > 0.4/hr in M9 minimal media with 0.4% glycerol at 37°C,E. coli growth rate in glycerol minimal media is < 0.2/hr or shows extended lag phase > 4 hours,250,BSL1,open,96-well plate format with continuous OD600 monitoring. Test three biological replicates.
microbial_growth,Probiotic strain temperature tolerance profiling,Lactobacillus rhamnosus GG maintains >80% viability and growth capacity after 2-hour exposure to 45°C,L. rhamnosus GG shows significant viability loss (>50%) or impaired growth after heat stress,300,BSL1,open,Growth curves at 30 37 and 42°C. CFU counts before and after heat treatment. MRS media.
microbial_growth,Antibiotic sub-MIC effects on biofilm formation,Sub-MIC concentrations (0.25x MIC) of azithromycin reduce P. aeruginosa biofilm formation by >50% compared to untreated,Sub-MIC azithromycin does not significantly reduce biofilm biomass compared to untreated controls,400,BSL2,confidential,Crystal violet biofilm assay. 24-hour biofilm formation. Test PAO1 and two clinical isolates.
